mode_rank,eigen_index,vtk_w_field,omega_sq,omega,selected_positive_mode,vector_isfinite,vector_norm,w_norm,w_min,w_min_node,w_max,w_max_node,max_abs_w,normalized_max_abs_w,rebuild_error,relative_rebuild_error
160,160,w160,4.587702756469269e10,214189.23307368343,true,true,84.29373456168193,5.769292109435966,-1.0,273,0.9999992039479407,81,1.0,true,0.0,0.0
161,161,w161,4.590087513927765e10,214244.89524671913,true,true,39.112199783828,5.793546151426741,-1.0,65,0.9852330595218094,177,1.0,true,0.0,0.0
162,162,w162,4.60595984839719e10,214615.00060334062,true,true,31.88815080401246,5.6392793327337705,-1.0,282,0.9999993141966625,184,1.0,true,0.0,0.0
163,163,w163,4.609249846864251e10,214691.63576777393,true,true,1681.6632302222192,5.413829493507434,-0.9999997360622345,277,1.0,287,1.0,true,0.0,0.0
164,164,w164,4.609721824690618e10,214702.62748021082,true,true,129.88041194610807,4.756540608172348,-1.0,273,0.683015981360721,141,1.0,true,0.0,0.0
165,165,w165,4.642547619223907e10,215465.71929715193,true,true,93.2956690154087,4.321547883304326,-0.999999718940797,267,1.0,183,1.0,true,0.0,0.0
166,166,w166,4.6427775969348145e10,215471.0559897736,true,true,53.88562948681531,6.30546828398375,-0.9999996748736497,229,1.0,125,1.0,true,0.0,0.0
167,167,w167,4.642777607482977e10,215471.05623454342,true,true,53.88529348952476,6.305428673770147,-0.9999983743759535,139,1.0,279,1.0,true,0.0,0.0
168,168,w168,4.6625411860622955e10,215929.18251274643,true,true,30.480345557705117,5.121789697300931,-0.777893711260657,237,1.0,177,1.0,true,0.0,0.0
169,169,w169,4.66528507189933e10,215992.7098746467,true,true,73.82315433009886,7.222596263435808,-0.9999960730404518,182,1.0,252,1.0,true,0.0,0.0
170,170,w170,4.684200853884894e10,216430.14701942273,true,true,45.90384736661087,5.490372553495419,-1.0,219,0.5736982646360467,223,1.0,true,0.0,0.0
171,171,w171,4.687545039607068e10,216507.39108878173,true,true,63.811508447126414,6.554953733937215,-1.0,135,0.9999912884232608,219,1.0,true,0.0,0.0
172,172,w172,4.687545044947562e10,216507.39121211454,true,true,63.811421369018156,6.55494505119846,-1.0,129,0.9999927525143786,225,1.0,true,0.0,0.0
173,173,w173,4.689262613064547e10,216547.05292532954,true,true,59.984345619694935,7.316505390439601,-1.0,136,0.999999190412982,120,1.0,true,0.0,0.0
174,174,w174,4.691148725801832e10,216590.59826783414,true,true,29.638258728337135,3.123782547775468,-0.41502349111192066,161,1.0,177,1.0,true,0.0,0.0
175,175,w175,4.698121274609547e10,216751.4999858028,true,true,51.10876145588072,6.218926512936118,-1.0,93,0.9999983992064545,261,1.0,true,0.0,0.0
176,176,w176,4.698121299872157e10,216751.50056855794,true,true,51.10878275268223,6.218933568337793,-1.0,273,0.999999951266506,81,1.0,true,0.0,0.0
177,177,w177,4.7106955425862816e10,217041.36800587765,true,true,46.2094275375902,6.420353008389156,-0.9999998866178983,217,1.0,137,1.0,true,0.0,0.0
178,178,w178,4.71069556618011e10,217041.36854941066,true,true,46.20945601650531,6.420351540706688,-1.0,255,0.9999998183187332,99,1.0,true,0.0,0.0
179,179,w179,4.717599010866144e10,217200.34555373396,true,true,50.828514497177444,6.105093968538959,-0.9709364862205252,121,1.0,271,1.0,true,0.0,0.0
180,180,w180,4.72258610346946e10,217315.11920410555,true,true,41.224084297399834,5.936559682999099,-1.0,117,0.9999951110142461,181,1.0,true,0.0,0.0
181,181,w181,4.72924872957388e10,217468.35929794202,true,true,43.81601533231176,5.487111731342548,-0.9999993890185839,159,1.0,195,1.0,true,0.0,0.0
182,182,w182,4.729248754882956e10,217468.3598798445,true,true,43.816046905502446,5.487114625248189,-1.0,221,0.9999994026431818,133,1.0,true,0.0,0.0
183,183,w183,4.740207247886327e10,217720.17012409132,true,true,106.1575823665904,5.079139459251387,-0.9999813287855367,261,1.0,93,1.0,true,0.0,0.0
184,184,w184,4.740207250843616e10,217720.17019200622,true,true,106.15834619939656,5.079175627543981,-0.9999960646830824,273,1.0,81,1.0,true,0.0,0.0
185,185,w185,4.740558728419639e10,217728.2418157929,true,true,20.74965739386024,4.651852391218833,-0.5539292128912484,147,1.0,177,1.0,true,0.0,0.0
186,186,w186,4.745153515711874e10,217833.73282648108,true,true,76.925918958791,5.5536744592264515,-1.0,270,0.9999998186731044,126,1.0,true,0.0,0.0
187,187,w187,4.75733929411612e10,218113.25714215814,true,true,1278.5719251793555,6.388554443219681,-0.9999992782573379,76,1.0,230,1.0,true,0.0,0.0
188,188,w188,4.761776258556202e10,218214.9458345189,true,true,131.52358705615774,5.511075372651216,-0.9695755618543821,135,1.0,273,1.0,true,0.0,0.0
189,189,w189,4.7657849689640976e10,218306.77884491123,true,true,190.7366808944771,5.487073738734107,-0.9999997586288384,132,1.0,174,1.0,true,0.0,0.0
190,190,w190,4.80783074406706e10,219267.6616390812,true,true,1081.063655858154,6.03504705060703,-1.0,200,0.9999997086364799,280,1.0,true,0.0,0.0
191,191,w191,4.8464929881445206e10,220147.5184539794,true,true,1039.9526754146111,5.487996748991689,-1.0,233,0.9999999169181366,241,1.0,true,0.0,0.0
192,192,w192,4.883705597852409e10,220991.07669434097,true,true,396.16219399645365,5.219319851148483,-1.0,135,0.7796509656280352,177,1.0,true,0.0,0.0
193,193,w193,4.906369604065528e10,221503.26417607322,true,true,522.4138881204875,6.55962164682668,-1.0,261,0.999999121894577,93,1.0,true,0.0,0.0
