mode_rank,eigen_index,omega_sq_real,omega_real,Omega_FEM,Omega_exact,matched_m,matched_n,W_energy_pct,Phi1_energy_pct,Phi2_energy_pct,relative_residual
177,177,1.540096e+05,3.924406e+02,1296.8364,1283.0486,3,11,99.9917,0.0041,0.0041,1.00e-08
178,178,1.553624e+05,3.941604e+02,1302.5197,1283.0486,3,11,99.9923,0.0039,0.0039,1.22e-08
179,179,1.553774e+05,3.941794e+02,1302.5826,1283.0486,3,11,99.9928,0.0036,0.0036,1.57e-08
180,180,1.596437e+05,3.995544e+02,1320.3444,1342.2662,6,10,99.9921,0.0040,0.0040,1.70e-08
181,181,1.649844e+05,4.061827e+02,1342.2479,1342.2662,6,10,99.9920,0.0040,0.0040,1.28e-08
182,182,1.662638e+05,4.077546e+02,1347.4422,1352.1358,4,11,99.9919,0.0041,0.0041,1.29e-08
183,183,1.664606e+05,4.079958e+02,1348.2394,1352.1358,4,11,99.9914,0.0043,0.0043,1.20e-08
184,184,1.686314e+05,4.106476e+02,1357.0023,1352.1358,4,11,99.9902,0.0049,0.0049,6.24e-09
185,185,1.695548e+05,4.117704e+02,1360.7126,1352.1358,4,11,99.9917,0.0041,0.0041,1.30e-08
186,186,1.757543e+05,4.192307e+02,1385.3655,1352.1358,4,11,99.9914,0.0043,0.0043,1.30e-08
187,187,1.760106e+05,4.195362e+02,1386.3751,1352.1358,4,11,99.9917,0.0041,0.0041,1.31e-08
188,188,1.764093e+05,4.200110e+02,1387.9443,1352.1358,4,11,99.9915,0.0043,0.0043,9.44e-09
189,189,1.779194e+05,4.218050e+02,1393.8724,1431.0926,1,12,99.9912,0.0044,0.0044,1.40e-08
190,190,1.866455e+05,4.320249e+02,1427.6444,1431.0926,1,12,99.9913,0.0043,0.0043,2.45e-08
191,191,1.929347e+05,4.392434e+02,1451.4983,1460.7015,2,12,99.9909,0.0045,0.0045,1.60e-08
