mode_rank,eigen_index,vtk_w_field,lambda_real,lambda_imag,node_row,x,y,w,phi_1,phi_2
41,41,w41,1.0000000504438284,0.0,11,0.7500000000003471,1.0,0.7711516045232946,-0.2806874933549122,0.24048475332723518
41,41,w41,1.0000000504438284,0.0,12,0.5000000000020595,1.0,-0.9999971313151544,-0.0996789957749502,-0.14104850532044344
41,41,w41,1.0000000504438284,0.0,13,0.2500000000010405,1.0,0.7588557511830083,0.34979277144905085,0.11745536246439225
41,41,w41,1.0000000504438284,0.0,14,0.0,0.7500000000003471,-0.7588581459642657,0.11745530215615886,0.34979269065446117
41,41,w41,1.0000000504438284,0.0,15,0.0,0.5000000000020595,1.0,-0.1410488245117975,-0.09967988028942691
41,41,w41,1.0000000504438284,0.0,16,0.0,0.2500000000010405,-0.771153673033139,0.24048614522678768,-0.28068920178951745
41,41,w41,1.0000000504438284,0.0,17,0.2499999999998184,0.2500000000006332,3.507823200859384e-7,-0.011460981018303104,0.011461701529864527
41,41,w41,1.0000000504438284,0.0,18,0.2500000000002257,0.5000000000012177,-0.058595405406835936,-0.0887092093583259,-0.039930995414706676
41,41,w41,1.0000000504438284,0.0,19,0.2500000000006332,0.7500000000000954,1.309027205994409e-7,0.029121332306004357,0.02912124837269993
41,41,w41,1.0000000504438284,0.0,20,0.4999999999995339,0.2500000000002257,0.05859492554766219,0.03993149175171968,0.08870885183907626
41,41,w41,1.0000000504438284,0.0,21,0.5000000000003757,0.5000000000003757,-3.512694390942734e-8,1.1449547503307886e-7,-3.7125949727754374e-8
41,41,w41,1.0000000504438284,0.0,22,0.5000000000012177,0.749999999999844,0.05859517360939001,-0.03993066038872764,-0.08870922018441708
41,41,w41,1.0000000504438284,0.0,23,0.7499999999995922,0.2499999999998184,-2.862640586204372e-7,-0.02911990616344084,-0.02912035497633487
41,41,w41,1.0000000504438284,0.0,24,0.749999999999844,0.4999999999995339,-0.05859459812836874,0.08870887444598356,0.03993095035489088
41,41,w41,1.0000000504438284,0.0,25,0.7500000000000953,0.7499999999995921,-5.140119396759066e-7,0.011461921902985572,-0.011461258747149386
42,42,w42,1.0000000507210318,0.0,1,0.0,0.0,0.69626218667487,-0.09549875253609394,-0.09549179846749804
42,42,w42,1.0000000507210318,0.0,2,1.0,0.0,6.560230924692534e-7,0.89044952503032,0.8904495060395902
42,42,w42,1.0000000507210318,0.0,3,1.0,1.0,-0.696261806347113,-0.09549352253339244,-0.09549700561323034
42,42,w42,1.0000000507210318,0.0,4,0.0,1.0,-4.0228417356256834e-7,0.8904435820896598,0.8904436921456871
42,42,w42,1.0000000507210318,0.0,5,0.2499999999994109,0.0,-0.847837147382586,0.2545389823816229,0.009468772790813798
42,42,w42,1.0000000507210318,0.0,6,0.4999999999986921,0.0,1.0,0.10205816622942186,-0.01749949545980684
42,42,w42,1.0000000507210318,0.0,7,0.7499999999993406,0.0,-0.7329738697257118,0.4507872009108223,0.18623849089216782
42,42,w42,1.0000000507210318,0.0,8,1.0,0.2499999999994109,0.7329721845866954,0.1862385919557588,0.4507872297694846
42,42,w42,1.0000000507210318,0.0,9,1.0,0.4999999999986921,-0.9999979572654445,-0.017499303269309617,0.10205867922297845
42,42,w42,1.0000000507210318,0.0,10,1.0,0.7499999999993406,0.8478355666364055,0.009468369328761501,0.2545396785238858
42,42,w42,1.0000000507210318,0.0,11,0.7500000000003471,1.0,0.8478311490952787,0.25454086767109035,0.009467094591924583
42,42,w42,1.0000000507210318,0.0,12,0.5000000000020595,1.0,-0.9999922875888708,0.10205892104180193,-0.017498584424630384
42,42,w42,1.0000000507210318,0.0,13,0.2500000000010405,1.0,0.732968022388046,0.45078463850923856,0.1862375917849921
42,42,w42,1.0000000507210318,0.0,14,0.0,0.7500000000003471,-0.7329670155796689,0.18623760504196998,0.4507846928497452
42,42,w42,1.0000000507210318,0.0,15,0.0,0.5000000000020595,0.9999911631450105,-0.017498372952371687,0.10205942033940352
42,42,w42,1.0000000507210318,0.0,16,0.0,0.2500000000010405,-0.8478304357031666,0.009466585365128583,0.2545418369127497
42,42,w42,1.0000000507210318,0.0,17,0.2499999999998184,0.2500000000006332,0.10608451077293853,0.08273941019622905,0.08273946031665305
42,42,w42,1.0000000507210318,0.0,18,0.2500000000002257,0.5000000000012177,-0.06455753605064424,-0.027133916553739496,0.041973403798602156
42,42,w42,1.0000000507210318,0.0,19,0.2500000000006332,0.7500000000000954,-6.442953019320702e-8,0.12564776133937372,0.12564780980627063
42,42,w42,1.0000000507210318,0.0,20,0.4999999999995339,0.2500000000002257,-0.064558084682673,0.041972990883894466,-0.027134572943527103
42,42,w42,1.0000000507210318,0.0,21,0.5000000000003757,0.5000000000003757,1.583698578884156e-9,0.031899847062837314,0.03189974877006182
42,42,w42,1.0000000507210318,0.0,22,0.5000000000012177,0.749999999999844,0.06455761035536763,0.04197322107565013,-0.027134014054572844
42,42,w42,1.0000000507210318,0.0,23,0.7499999999995922,0.2499999999998184,1.049358503632494e-7,0.12564807268497316,0.12564808643243786
42,42,w42,1.0000000507210318,0.0,24,0.749999999999844,0.4999999999995339,0.06455793760235552,-0.027134471007539355,0.04197313260463632
42,42,w42,1.0000000507210318,0.0,25,0.7500000000000953,0.7499999999995921,-0.10608445349549642,0.08273936843827816,0.08273949244014281
43,43,w43,1.0000000510049738,0.0,1,0.0,0.0,-3.34678012110179e-7,-0.7787270220354341,0.7787273225555857
43,43,w43,1.0000000510049738,0.0,2,1.0,0.0,0.699185449737446,-0.10183396220898829,0.10183005822432897
43,43,w43,1.0000000510049738,0.0,3,1.0,1.0,8.509744088090547e-7,-0.7787292406526956,0.7787293416824089
43,43,w43,1.0000000510049738,0.0,4,0.0,1.0,-0.6991850315608207,-0.10183184403500407,0.10183267009359143
43,43,w43,1.0000000510049738,0.0,5,0.2499999999994109,0.0,-0.7380486006236874,-0.3632204644240382,0.3023956012194271
43,43,w43,1.0000000510049738,0.0,6,0.4999999999986921,0.0,0.9999951667004162,-0.2871579813905135,-0.052495735880135286
43,43,w43,1.0000000510049738,0.0,7,0.7499999999993406,0.0,-0.8479263825198375,-0.06316647439427357,-0.0022181869275418762
