mode_rank,matched_m,matched_n,w_h_FEM,w_h_exact,log10_Error_w_h,log10_Error_L2_w,log10_Error_L2_phi
349,15,15,6479269.7089,4437.6877,3.164072,-0.000000,0.000000
350,15,15,6479273.5820,4437.6877,3.164072,0.000000,0.000000
351,15,15,6479351.1538,4437.6877,3.164077,0.000000,0.000000
352,15,15,6479363.9842,4437.6877,3.164078,0.000000,0.000000
353,15,15,6479435.9800,4437.6877,3.164083,-0.000000,-0.000000
354,15,15,6479463.6905,4437.6877,3.164085,0.000000,0.000000
355,15,15,6479472.1920,4437.6877,3.164085,0.016630,3.462027
356,15,15,6479473.7447,4437.6877,3.164085,-0.000000,0.000000
357,15,15,6479479.0714,4437.6877,3.164086,0.022185,3.607848
358,15,15,6479484.1188,4437.6877,3.164086,0.000000,0.000000
359,15,15,6479485.8905,4437.6877,3.164086,0.008939,3.368655
360,15,15,6479487.8646,4437.6877,3.164086,0.037470,3.679173
361,15,15,6479488.0864,4437.6877,3.164086,0.033097,3.572308
362,15,15,6479497.9700,4437.6877,3.164087,0.026815,3.565431
363,15,15,6479500.2680,4437.6877,3.164087,0.015135,3.431806
364,15,15,6479500.3864,4437.6877,3.164087,0.002659,3.058581
365,15,15,6479505.0220,4437.6877,3.164088,0.011487,3.392002
366,15,15,6479550.3108,4437.6877,3.164091,0.004557,3.223757
367,15,15,6479554.4652,4437.6877,3.164091,0.008739,3.272327
368,15,15,6479561.3253,4437.6877,3.164091,0.010081,3.280651
369,15,15,6479614.4786,4437.6877,3.164095,0.000000,0.000000
370,15,15,6479617.0297,4437.6877,3.164095,0.018418,3.396954
371,15,15,6479620.4009,4437.6877,3.164095,0.026148,3.483668
372,15,15,6479620.7532,4437.6877,3.164095,0.032718,3.537543
373,15,15,6479643.7308,4437.6877,3.164097,0.003139,2.988153
374,15,15,6479645.7904,4437.6877,3.164097,0.016169,3.347804
375,15,15,6479646.2007,4437.6877,3.164097,0.013498,3.300456
376,15,15,6479647.0258,4437.6877,3.164097,0.022444,3.459830
377,15,15,6479732.0050,4437.6877,3.164103,0.000000,0.000000
378,15,15,6479741.4495,4437.6877,3.164103,0.000000,0.000000
379,15,15,6479761.4559,4437.6877,3.164105,0.000000,-0.000000
380,15,15,6479765.0579,4437.6877,3.164105,0.000737,2.693725
381,15,15,6479789.5011,4437.6877,3.164107,0.003264,2.975002
382,15,15,6479829.8301,4437.6877,3.164109,0.000000,0.000000
383,15,15,6479844.3410,4437.6877,3.164110,-0.001430,2.654964
384,15,15,6479848.3647,4437.6877,3.164111,0.000000,0.000000
385,15,15,6479859.0256,4437.6877,3.164111,-0.000000,-0.000000
386,15,15,6479908.7178,4437.6877,3.164115,-0.000000,-0.000000
387,15,15,6479923.3931,4437.6877,3.164116,0.000000,0.000000
388,15,15,6479925.0908,4437.6877,3.164116,0.000000,0.000000
389,15,15,6479945.1096,4437.6877,3.164117,0.000000,0.000000
390,15,15,6479948.0731,4437.6877,3.164117,0.006992,3.695016
391,15,15,6479952.2289,4437.6877,3.164118,0.000000,0.000000
392,15,15,6479953.9639,4437.6877,3.164118,0.000000,0.000000
393,15,15,6479964.3176,4437.6877,3.164118,-0.001082,2.972737
394,15,15,6479967.3376,4437.6877,3.164119,0.000000,0.000000
395,15,15,6479968.4770,4437.6877,3.164119,0.000000,0.000000
396,15,15,6479980.1190,4437.6877,3.164119,0.000000,0.000000
397,15,15,6479980.7137,4437.6877,3.164119,0.000000,0.000000
398,15,15,6479980.7587,4437.6877,3.164119,0.000000,0.000000
399,15,15,6479986.6145,4437.6877,3.164120,0.000000,0.000000
400,15,15,6480045.7664,4437.6877,3.164124,0.000000,0.000000
401,15,15,6480071.2258,4437.6877,3.164126,0.000000,0.000000
402,15,15,6480077.8361,4437.6877,3.164126,0.000000,0.000000
403,15,15,6480089.3057,4437.6877,3.164127,-0.000000,-0.000000
404,15,15,6480108.1209,4437.6877,3.164128,0.000000,0.000000
405,15,15,6480123.9823,4437.6877,3.164129,0.000000,-0.000000
406,15,15,6480126.7255,4437.6877,3.164129,0.000000,0.000000
