mode_rank,matched_m,matched_n,Omega_FEM,Omega_exact,log10_Error_Omega,log10_Error_L2_w,log10_Error_L2_phi,W_energy_pct,Phi1_energy_pct,Phi2_energy_pct,relative_residual
73,5,7,750.4039,730.3507,-1.561348,1.801574,1.747363,99.9952,0.0028,0.0020,4.21e-08
74,5,7,759.7916,730.3507,-1.394580,1.798634,1.738085,99.9954,0.0021,0.0025,4.67e-08
75,4,8,763.1837,789.5684,-1.476039,1.801306,1.712438,99.9956,0.0024,0.0020,5.14e-08
76,4,8,770.2750,789.5684,-1.611982,1.801330,1.745323,99.9949,0.0031,0.0020,4.61e-08
77,4,8,779.1268,789.5684,-1.878626,1.800069,1.713454,99.9956,0.0023,0.0021,4.53e-08
78,4,8,787.1589,789.5684,-2.515465,1.800923,1.735484,99.9951,0.0028,0.0021,3.54e-08
79,4,8,796.8302,789.5684,-2.036343,1.800235,1.735749,99.9951,0.0023,0.0026,4.03e-08
80,4,8,798.4894,789.5684,-1.946976,1.801395,1.726354,99.9953,0.0030,0.0017,4.67e-08
81,1,9,804.0271,809.3076,-2.185446,1.801577,1.736601,99.9950,0.0027,0.0023,3.88e-08
82,1,9,809.9478,809.3076,-3.101780,1.801403,1.733413,99.9951,0.0023,0.0026,4.13e-08
83,1,9,819.6429,809.3076,-1.893791,1.800700,1.740620,99.9949,0.0029,0.0022,3.61e-08
84,2,9,825.6630,838.9164,-1.801393,1.798857,1.734382,99.9949,0.0024,0.0027,4.51e-08
85,2,9,830.5299,838.9164,-2.000141,1.798170,1.741495,99.9947,0.0022,0.0031,3.69e-08
86,2,9,834.0468,838.9164,-2.236232,1.801192,1.726997,99.9951,0.0027,0.0022,3.85e-08
87,2,9,838.9055,838.9164,-4.887625,1.800349,1.743723,99.9947,0.0028,0.0026,3.27e-08
88,2,9,845.4098,838.9164,-2.111242,1.800760,1.737498,99.9948,0.0026,0.0025,3.54e-08
89,2,9,851.3101,838.9164,-1.830517,1.797929,1.734015,99.9948,0.0028,0.0024,3.86e-08
90,5,8,861.3637,878.3948,-1.712446,1.800317,1.747055,99.9943,0.0021,0.0037,3.04e-08
91,5,8,863.3557,878.3948,-1.766467,1.799525,1.735845,99.9945,0.0023,0.0031,3.33e-08
92,5,8,865.8387,878.3948,-1.844837,1.801207,1.738494,99.9945,0.0025,0.0030,3.27e-08
93,5,8,875.0858,878.3948,-2.423996,1.800059,1.734156,99.9946,0.0029,0.0025,3.69e-08
94,5,8,876.9745,878.3948,-2.791323,1.800034,1.734927,99.9946,0.0031,0.0023,3.81e-08
