mode_rank,omega_num,freq_num_hz,m,n,omega_exact,freq_exact_hz,Omega_num,Omega_exact,rel_error_percent,abs_rel_error_percent,relative_residual,residual_within_tolerance,vector_norm,w_norm
120,218072.1755831017,34707.264694854355,1,13,205715.8911486052,32740.7009488548,720.6287348544565,679.796869919263,6.006480279916991,6.006480279916991,3.1231561718027454e-08,1,584.9939206193842,4.108188200133524
121,218777.23501452972,34819.47838853969,7,11,205715.8911486052,32740.7009488548,722.9586335896281,679.796869919263,6.349214828760721,6.349214828760721,4.150060986305075e-08,1,73.75419961896638,7.813810129552729
122,218841.5267372385,34829.71073400869,11,7,205715.8911486052,32740.7009488548,723.1710883086832,679.796869919263,6.380467505619966,6.380467505619966,4.0054986014986077e-08,1,45.55976321131511,6.016064054715975
123,219063.87764286544,34865.09897974017,13,1,205715.8911486053,32740.700948854814,723.9058562880791,679.7968699192633,6.488553907883469,6.488553907883469,3.67774557456666e-08,1,931.633744804686,6.482476314267873
124,219211.5729561553,34888.60541892176,13,2,207884.79999935543,33085.893513567455,724.3939217025476,686.964121022947,5.448581597516983,5.448581597516983,1.0581875959118217e-07,1,996.5318613192368,4.737747265708581
125,219662.73613306796,34960.41026866846,2,13,207884.79999935548,33085.89351356747,725.8848095176581,686.9641210229472,5.665607169811833,5.665607169811833,3.903327702975607e-08,1,92.21157879325412,5.729841362950418
126,219697.61921143616,34965.96208302102,3,13,211456.69938539484,33654.37895708254,726.0000821266698,698.767613736799,3.897213874043145,3.897213874043145,3.9040101710554135e-08,1,224.7858932466258,5.675073539947865
127,219915.76931098543,35000.68174970027,13,3,211456.69938539484,33654.37895708254,726.7209683645688,698.767613736799,4.000379250303773,4.000379250303773,3.3379474557189115e-08,1,525.8386348363682,6.0208067574598845
128,219930.5776534411,35003.03857060109,6,12,212870.8415647708,33879.44667516497,726.7699031590266,703.4407064268826,3.3164411042750697,3.3164411042750697,4.523888917778211e-08,1,1289.056320928829,6.632774082145158
129,220802.6642545405,35141.83546397027,12,6,212870.8415647708,33879.44667516497,729.6517502463653,703.4407064268826,3.7261198534587723,3.7261198534587723,3.696215113127588e-08,1,51.061074857480335,4.602710754035694
130,220979.9615497717,35170.05320490313,9,10,213574.84877226342,33991.492902209735,730.2376366631626,705.7671280435206,3.467221360603375,3.467221360603375,3.7756560036993016e-08,1,135.7942448241606,5.525791653539664
131,221184.7546471409,35202.64703866054,10,9,213574.84877226342,33991.492902209735,730.9143841219775,705.7671280435206,3.5631095696066706,3.5631095696066706,3.2234524300579016e-08,1,55.995798747429966,5.405698258600898
132,221280.8862887029,35217.94686460267,4,13,216370.83541229588,34436.4879967898,731.2320552006149,715.0065842450696,2.2692757399817234,2.2692757399817234,3.0975053961795315e-08,1,82.6389379112244,6.576135108899633
133,221328.7016952348,35225.556922908174,8,11,216370.83541229588,34436.4879967898,731.390063235448,715.0065842450696,2.291374562330318,2.291374562330318,3.2094620427954074e-08,1,240.8803637375726,6.0851628635180965
134,222885.2936451123,35473.296226108236,11,8,216370.83541229588,34436.4879967898,736.5338872218208,715.0065842450696,3.0107838796310604,3.0107838796310604,3.2879089878469653e-08,1,2136.6429375176394,6.602705623270078
135,223028.9604189251,35496.1615033186,13,4,216370.83541229588,34436.4879967898,737.0086401570657,715.0065842450696,3.0771822801081847,3.0771822801081847,3.9799122979554697e-08,1,157.19079222046489,4.919991930627555
