mode_rank,omega_num,freq_num_hz,m,n,omega_exact,freq_exact_hz,Omega_num,Omega_exact,rel_error_percent,abs_rel_error_percent,relative_residual,residual_within_tolerance,boundary_max_abs_w,vector_norm,w_norm
43,232322.7463085724,36975.31346769368,4,7,111237.22265879717,17703.953841961353,767.7203490202285,367.58811076649846,108.85342222287065,108.85342222287065,7.297047995453506e-08,1,6.321662173777769e-08,962.5643757692086,2.410574260138864
44,232419.5559616704,36990.72120252324,7,4,111237.22265879724,17703.953841961367,768.0402606166858,367.5881107664987,108.94045213137062,108.94045213137062,2.2588136409232306e-08,1,2.2421186523806808e-08,698.6696891760691,1.999999784695028
45,239552.9984638189,38126.04383800199,8,1,111237.22265879724,17703.953841961367,791.6130233120409,367.5881107664987,115.35327180777443,115.35327180777443,8.981769656459326e-08,1,5.310702755980147e-08,2309.6380960584265,1.7123713897387112
46,239850.1510291228,38173.33713762254,2,8,114709.78150400179,18256.628747353152,792.5949765420719,379.0633284582385,109.09302405109658,109.09302405109658,5.4426841347073054e-08,1,5.304366635325965e-08,1844.1667833609656,2.373860051018057
47,240658.0810176561,38301.9231889698,8,2,114709.78150400179,18256.628747353152,795.264815387541,379.0633284582385,109.79734933002246,109.79734933002246,1.3604657357213009e-07,1,6.490860560019252e-08,14687.991525255353,1.999997590560229
48,241607.37084793832,38453.00735788608,6,6,119230.33221895191,18976.096739135068,798.4017838136014,394.00167964334196,102.63918279138564,102.63918279138564,8.481105783695668e-08,1,5.9028506757583634e-08,887.5288076912846,1.982764639528129
49,242868.51285591017,38653.72434239564,3,8,120341.85801586579,19153.00156408807,802.5692809610321,397.6747636883209,101.81549201599545,101.81549201599545,4.6956835098742884e-08,1,1.204246838889589e-07,2532.915996858382,1.99999991918866
50,244717.86010813763,38948.05709908105,8,3,120341.85801586584,19153.001564088077,808.6805272358755,397.67476368832115,103.3522368217666,103.3522368217666,1.522424424699606e-07,1,1.889305866642601e-07,4451.301571914135,1.834645822936502
51,244730.333526553,38950.04230527911,5,7,121446.20454378017,19328.763772892016,808.7217461750085,401.3241235350043,101.5133650704828,101.5133650704828,6.504895152216092e-08,1,1.1226284898524832e-07,4020.922305853792,1.856820395285518
52,247168.4125982279,39338.07464118507,7,5,121446.20454378023,19328.763772892024,816.7784816672754,401.3241235350045,103.52090337176901,103.52090337176901,6.96798001462664e-08,1,5.856639656744309e-08,878.9477823765095,1.2335864318527376
53,249179.6880090115,39658.17906473046,4,8,127928.34042864678,20360.427740761894,823.4248263962229,422.7446159448029,94.78067734959306,94.78067734959306,4.782265956314452e-07,1,6.620372134468122e-08,15199.044140039685,1.7021728678625163
54,251225.24977799685,39983.74033166428,8,4,127928.34042864678,20360.427740761894,830.1844718471338,422.7446159448029,96.37966766099031,96.37966766099031,5.76737550951483e-08,1,1.3800949396883654e-07,4828.788123667881,1.999999731201884
55,251686.53302376,40057.15584039295,9,1,130036.94439953807,20696.02248575244,831.7088018581268,429.71258702038574,93.55002086980295,93.55002086980295,9.66800587861111e-08,1,9.030278060067813e-08,1042.417349444923,1.887040149721448
