ndiv,lambda_numeric,lambda_exact
9,6.8817241987649902e+10,289.000000
9,7.1120181103452469e+10,289.000000
9,7.2480723567322739e+10,291.003460
9,7.6176686269879974e+10,297.055363
9,7.6641486034173218e+10,300.444444
9,7.9774580207690842e+10,302.760000
9,8.0047284817365036e+10,306.250000
9,8.6011042229031479e+10,307.280277
9,8.8449361160445160e+10,308.441406
9,9.3998839212814423e+10,316.840000
9,9.4393825411246414e+10,321.236686
9,9.5923147140582977e+10,321.885813
9,9.7597874178901794e+10,324.000000
9,1.0094553026470128e+11,326.003086
9,1.0792513090480650e+11,327.610000
9,1.1564498332766325e+11,328.515625
9,1.1622668530332356e+11,332.049383
9,1.2199043724812502e+11,333.062500
9,1.2340606283894511e+11,333.671111
9,1.3168587195499110e+11,337.223140
9,1.4186851705720129e+11,341.162630
9,1.5073281482948584e+11,342.250000
9,1.5445481147142767e+11,344.897959
9,1.6682245033233234e+11,344.897959
9,1.8279736331050250e+11,351.562500
9,1.9565042243918716e+11,356.790123
9,2.1248610130522171e+11,363.002770
9,2.2522787375958347e+11,363.378906
9,2.6755963852392981e+11,365.484429
9,3.1154989398784058e+11,369.044321
9,3.2353542282605469e+11,369.822485
9,4.1613478090315009e+11,371.204444
9,4.2786092681347223e+11,373.777778
9,5.0630997302394025e+11,375.929012
9,5.6106322308610620e+11,379.224377
9,5.7379719583671179e+11,380.250000
9,9.3286003500170312e+11,391.474490
9,9.8418423149516797e+11,393.709141
9,1.3329783275121104e+12,395.307958
9,2.0418101785943921e+12,400.000000
9,3.6741813416922192e+12,400.000000
9,3.8085967530413496e+12,400.000000
9,3.8176737143022148e+12,400.000000
9,3.8372693639888198e+12,400.000000
9,3.8555866220156450e+12,402.002500
9,3.8681097828026616e+12,403.644628
9,3.8755799813818872e+12,404.456790
9,3.8797367886938008e+12,408.040000
9,3.8818130412639717e+12,412.731302
9,3.8905675483961929e+12,413.444444
9,3.8905675506902090e+12,416.160000
9,4.1736805363737788e+12,418.202500
9,4.1835738461604121e+12,420.250000
